"TAG","TEXT"
"a","Anti-Ragging"
"li","Privacy Statement"
"a","Privacy Statement"
"li","Report Copyright Infringement"
"a","Report Copyright Infringement"
"#root","Senate Members | Punjab Engineering College Skip to main content Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment -A A +A Administration University Administration Board of Governors Chairman, Board of Governors Director Senate Members Minutes of Senate Meetings Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Quick Links Alumni Central Library TEQIP III Admissions Placement Tenders Close modal List of Members of Senate Name/Designation Capacity Director ex-officio, Chairman Deputy Director ex-officio Heads of all the Academic Departments ex-officio Dr. Asha Gupta, Applied Sciences Department Two Professors, other than Deans/ Heads of departments by rotation Dr. Sanjeev Kumar, Mechanical Engineering Department Prof. S. K. Sharma, Civil Engineering Department Two Associate Professors from the departments, elected from amongst the Associate Professors Prof. Arun K. Singh, Electonics & Communication Engineering Department Prof. Tejinder Singh Saggu, Electrical Engineering Department Two Assistant Professors from the departments, elected from amongst the Assistant Professors Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh Ms. Seema Vasishta, Senior Librarian Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge Sh. Sushil Kumar, Network Administrator Registrar ex-officio, Secretary Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"html","Senate Members | Punjab Engineering College Skip to main content Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment -A A +A Administration University Administration Board of Governors Chairman, Board of Governors Director Senate Members Minutes of Senate Meetings Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Quick Links Alumni Central Library TEQIP III Admissions Placement Tenders Close modal List of Members of Senate Name/Designation Capacity Director ex-officio, Chairman Deputy Director ex-officio Heads of all the Academic Departments ex-officio Dr. Asha Gupta, Applied Sciences Department Two Professors, other than Deans/ Heads of departments by rotation Dr. Sanjeev Kumar, Mechanical Engineering Department Prof. S. K. Sharma, Civil Engineering Department Two Associate Professors from the departments, elected from amongst the Associate Professors Prof. Arun K. Singh, Electonics & Communication Engineering Department Prof. Tejinder Singh Saggu, Electrical Engineering Department Two Assistant Professors from the departments, elected from amongst the Assistant Professors Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh Ms. Seema Vasishta, Senior Librarian Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge Sh. Sushil Kumar, Network Administrator Registrar ex-officio, Secretary Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"head","Senate Members | Punjab Engineering College"
"title","Senate Members | Punjab Engineering College"
"body","Skip to main content Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment -A A +A Administration University Administration Board of Governors Chairman, Board of Governors Director Senate Members Minutes of Senate Meetings Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Quick Links Alumni Central Library TEQIP III Admissions Placement Tenders Close modal List of Members of Senate Name/Designation Capacity Director ex-officio, Chairman Deputy Director ex-officio Heads of all the Academic Departments ex-officio Dr. Asha Gupta, Applied Sciences Department Two Professors, other than Deans/ Heads of departments by rotation Dr. Sanjeev Kumar, Mechanical Engineering Department Prof. S. K. Sharma, Civil Engineering Department Two Associate Professors from the departments, elected from amongst the Associate Professors Prof. Arun K. Singh, Electonics & Communication Engineering Department Prof. Tejinder Singh Saggu, Electrical Engineering Department Two Assistant Professors from the departments, elected from amongst the Assistant Professors Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh Ms. Seema Vasishta, Senior Librarian Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge Sh. Sushil Kumar, Network Administrator Registrar ex-officio, Secretary Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"a","Skip to main content"
"section","Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment"
"ul","Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search"
"li","Alumni"
"a","Alumni"
"li","Webmail"
"a","Webmail"
"li","Jobs"
"a","Jobs"
"li","Tenders"
"a","Tenders"
"li","Office Orders"
"a","Office Orders"
"li","NIRF"
"a","NIRF"
"li","RTI"
"a","RTI"
"li","Placements"
"a","Placements"
"li","Contact Us"
"a","Contact Us"
"li","Search"
"form","Search"
"label","Search"
"ul","Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment"
"li","Home"
"a","Home"
"li","Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports"
"a","Institute"
"ul","History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports"
"li","History"
"a","History"
"li","Vision & Mission"
"a","Vision & Mission"
"li","Campus"
"a","Campus"
"li","Location"
"a","Location"
"li","News and Events"
"a","News and Events"
"li","Tenders & Quotations"
"a","Tenders & Quotations"
"li","Balance Sheets"
"a","Balance Sheets"
"li","Rules, Guidelines & Forms"
"a","Rules, Guidelines & Forms"
"li","Faculty Affairs"
"a","Faculty Affairs"
"li","IQAC Reports"
"a","IQAC Reports"
"li","Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings"
"a","Administration"
"ul","Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings"
"li","Board Of Governors"
"a","Board Of Governors"
"li","Chairman, Board of Governors"
"a","Chairman, Board of Governors"
"li","Director"
"a","Director"
"li","Senate Members"
"a","Senate Members"
"li","Building & Works Committee"
"a","Building & Works Committee"
"li","Finance Committee"
"a","Finance Committee"
"li","Grievance Redressal Committee"
"a","Grievance Redressal Committee"
"li","Institute Functionaries"
"a","Institute Functionaries"
"li","Minutes of Meetings"
"a","Minutes of Meetings"
"li","Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal"
"a","Programmes"
"ul","Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal"
"li","Undergraduate"
"a","Undergraduate"
"li","Postgraduate"
"a","Postgraduate"
"li","Doctorate"
"a","Doctorate"
"li","Academic Support for Students"
"a","Academic Support for Students"
"li","Accreditation"
"a","Accreditation"
"li","Scholarships"
"a","Scholarships"
"li","IQAC Reports"
"a","IQAC Reports"
"li","E-Academic Portal"
"a","E-Academic Portal"
"li","Admissions"
"a","Admissions"
"li","Academic Units Departments Centres"
"a","Academic Units"
"ul","Departments Centres"
"li","Departments"
"a","Departments"
"li","Centres"
"a","Centres"
"li","Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts"
"a","Research"
"ul","Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts"
"li","Overview"
"a","Overview"
"li","Research Groups"
"a","Research Groups"
"li","Sponsored Research"
"a","Sponsored Research"
"li","In-House Projects"
"a","In-House Projects"
"li","Consultancy"
"a","Consultancy"
"li","Courses and Conferences"
"a","Courses and Conferences"
"li","Young Research Fellows Programme"
"a","Young Research Fellows Programme"
"li","Norms and Forms"
"a","Norms and Forms"
"li","Contacts"
"a","Contacts"
"li","Campus Life Students Facilities Online Fee Payment"
"a","Campus Life"
"ul","Students Facilities Online Fee Payment"
"li","Students"
"a","Students"
"li","Facilities"
"a","Facilities"
"li","Online Fee Payment"
"a","Online Fee Payment"
"section","-A A +A Administration University Administration Board of Governors Chairman, Board of Governors Director Senate Members Minutes of Senate Meetings Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Quick Links Alumni Central Library TEQIP III Admissions Placement Tenders Close modal List of Members of Senate Name/Designation Capacity Director ex-officio, Chairman Deputy Director ex-officio Heads of all the Academic Departments ex-officio Dr. Asha Gupta, Applied Sciences Department Two Professors, other than Deans/ Heads of departments by rotation Dr. Sanjeev Kumar, Mechanical Engineering Department Prof. S. K. Sharma, Civil Engineering Department Two Associate Professors from the departments, elected from amongst the Associate Professors Prof. Arun K. Singh, Electonics & Communication Engineering Department Prof. Tejinder Singh Saggu, Electrical Engineering Department Two Assistant Professors from the departments, elected from amongst the Assistant Professors Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh Ms. Seema Vasishta, Senior Librarian Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge Sh. Sushil Kumar, Network Administrator Registrar ex-officio, Secretary"
"a","-A"
"sup","-"
"a","A"
"a","+A"
"sup","+"
"h3","Administration"
"span","Administration"
"ul","University Administration Board of Governors Chairman, Board of Governors Director Senate Members Minutes of Senate Meetings Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings"
"li","University Administration"
"a","University Administration"
"li","Board of Governors"
"a","Board of Governors"
"li","Chairman, Board of Governors"
"a","Chairman, Board of Governors"
"li","Director"
"a","Director"
"li","Senate Members Minutes of Senate Meetings"
"a","Senate Members"
"ul","Minutes of Senate Meetings"
"li","Minutes of Senate Meetings"
"a","Minutes of Senate Meetings"
"li","Building & Works Committee"
"a","Building & Works Committee"
"li","Finance Committee"
"a","Finance Committee"
"li","Grievance Redressal Committee"
"a","Grievance Redressal Committee"
"li","Institute Functionaries"
"a","Institute Functionaries"
"li","Minutes of Meetings"
"a","Minutes of Meetings"
"p","Quick Links"
"a","Quick Links"
"nav","Alumni Central Library TEQIP III Admissions Placement Tenders"
"ul","Alumni Central Library TEQIP III Admissions Placement Tenders"
"li","Alumni"
"a","Alumni"
"li","Central Library"
"a","Central Library"
"li","TEQIP III"
"a","TEQIP III"
"li","Admissions"
"a","Admissions"
"li","Placement"
"a","Placement"
"li","Tenders"
"a","Tenders"
"a","Close modal"
"table","Name/Designation Capacity Director ex-officio, Chairman Deputy Director ex-officio Heads of all the Academic Departments ex-officio Dr. Asha Gupta, Applied Sciences Department Two Professors, other than Deans/ Heads of departments by rotation Dr. Sanjeev Kumar, Mechanical Engineering Department Prof. S. K. Sharma, Civil Engineering Department Two Associate Professors from the departments, elected from amongst the Associate Professors Prof. Arun K. Singh, Electonics & Communication Engineering Department Prof. Tejinder Singh Saggu, Electrical Engineering Department Two Assistant Professors from the departments, elected from amongst the Assistant Professors Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh Ms. Seema Vasishta, Senior Librarian Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge Sh. Sushil Kumar, Network Administrator Registrar ex-officio, Secretary"
"tbody","Name/Designation Capacity Director ex-officio, Chairman Deputy Director ex-officio Heads of all the Academic Departments ex-officio Dr. Asha Gupta, Applied Sciences Department Two Professors, other than Deans/ Heads of departments by rotation Dr. Sanjeev Kumar, Mechanical Engineering Department Prof. S. K. Sharma, Civil Engineering Department Two Associate Professors from the departments, elected from amongst the Associate Professors Prof. Arun K. Singh, Electonics & Communication Engineering Department Prof. Tejinder Singh Saggu, Electrical Engineering Department Two Assistant Professors from the departments, elected from amongst the Assistant Professors Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh Ms. Seema Vasishta, Senior Librarian Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge Sh. Sushil Kumar, Network Administrator Registrar ex-officio, Secretary"
"tr","Name/Designation Capacity"
"td","Name/Designation"
"p","Name/Designation"
"strong","Name/Designation"
"td","Capacity"
"p","Capacity"
"strong","Capacity"
"tr","Director ex-officio, Chairman"
"td","Director"
"p","Director"
"td","ex-officio, Chairman"
"p","ex-officio, Chairman"
"tr","Deputy Director ex-officio"
"td","Deputy Director"
"p","Deputy Director"
"td","ex-officio"
"p","ex-officio"
"tr","Heads of all the Academic Departments ex-officio"
"td","Heads of all the Academic Departments"
"p","Heads of all the Academic Departments"
"td","ex-officio"
"p","ex-officio"
"tr","Dr. Asha Gupta, Applied Sciences Department Two Professors, other than Deans/ Heads of departments by rotation"
"td","Dr. Asha Gupta, Applied Sciences Department"
"p","Dr. Asha Gupta, Applied Sciences Department"
"td","Two Professors, other than Deans/ Heads of departments by rotation"
"p","Two Professors, other than Deans/ Heads of departments by rotation"
"tr","Dr. Sanjeev Kumar, Mechanical Engineering Department"
"td","Dr. Sanjeev Kumar, Mechanical Engineering Department"
"p","Dr. Sanjeev Kumar, Mechanical Engineering Department"
"tr","Prof. S. K. Sharma, Civil Engineering Department Two Associate Professors from the departments, elected from amongst the Associate Professors"
"td","Prof. S. K. Sharma, Civil Engineering Department"
"p","Prof. S. K. Sharma, Civil Engineering Department"
"td","Two Associate Professors from the departments, elected from amongst the Associate Professors"
"p","Two Associate Professors from the departments, elected from amongst the Associate Professors"
"tr","Prof. Arun K. Singh, Electonics & Communication Engineering Department"
"td","Prof. Arun K. Singh, Electonics & Communication Engineering Department"
"p","Prof. Arun K. Singh, Electonics & Communication Engineering Department"
"tr","Prof. Tejinder Singh Saggu, Electrical Engineering Department Two Assistant Professors from the departments, elected from amongst the Assistant Professors"
"td","Prof. Tejinder Singh Saggu, Electrical Engineering Department"
"p","Prof. Tejinder Singh Saggu, Electrical Engineering Department"
"td","Two Assistant Professors from the departments, elected from amongst the Assistant Professors"
"p","Two Assistant Professors from the departments, elected from amongst the Assistant Professors"
"tr","Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors"
"td","Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions"
"p","Sh. Kunal Nandwani, Co-founder and CEO of uTrade Solutions"
"td","Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors"
"p","Two persons from educationists of repute or persons from any other field related to the activities of the Institute who are not in the service of the Institute, nominated by the Chairman of the Board of Governors"
"tr","Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh"
"td","Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh"
"p","Prof. M. Rajiv Lochan, Department of History, Panjab University, Chandigarh"
"tr","Ms. Seema Vasishta, Senior Librarian Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge"
"td","Ms. Seema Vasishta, Senior Librarian"
"p","Ms. Seema Vasishta, Senior Librarian"
"td","Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge"
"p","Two persons who are not members of the teaching staff, co-opted by the Senate for their specialized knowledge"
"tr","Sh. Sushil Kumar, Network Administrator"
"td","Sh. Sushil Kumar, Network Administrator"
"tr","Registrar ex-officio, Secretary"
"td","Registrar"
"p","Registrar"
"td","ex-officio, Secretary"
"p","ex-officio, Secretary"
"section","Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits"
"h3","Research"
"span","Research"
"ul","Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects"
"li","Overview"
"a","Overview"
"li","Research Groups"
"a","Research Groups"
"li","Sponsored Research"
"a","Sponsored Research"
"li","Consultancy"
"a","Consultancy"
"li","Collaborations"
"a","Collaborations"
"li","In-House Projects"
"a","In-House Projects"
"h3","Academics"
"span","Academics"
"ul","Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme"
"li","Time Tables"
"a","Time Tables"
"li","Examination"
"a","Examination"
"li","Academic Calendar"
"a","Academic Calendar"
"li","Undergraduate Programme"
"a","Undergraduate Programme"
"li","Postgraduate Programme"
"a","Postgraduate Programme"
"li","PhD Programme"
"a","PhD Programme"
"h3","Facilities"
"span","Facilities"
"ul","Library Computer Centre Sports Hostels Medical Facility Workshops"
"li","Library"
"a","Library"
"li","Computer Centre"
"a","Computer Centre"
"li","Sports"
"a","Sports"
"li","Hostels"
"a","Hostels"
"li","Medical Facility"
"a","Medical Facility"
"li","Workshops"
"a","Workshops"
"h3","Information"
"span","Information"
"ul","E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits"
"li","E-Notices"
"a","E-Notices"
"li","Multimedia"
"a","Multimedia"
"li","Brochure & Prospectus"
"a","Brochure & Prospectus"
"li","CRIKC"
"a","CRIKC"
"li","Sexual Harassment Complaints"
"a","Sexual Harassment Complaints"
"li","Website Credits"
"a","Website Credits"
"section","Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"p","Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"ul","Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"li","Web Editor"
"a","Web Editor"
"li","Anti-Ragging"
"a","Anti-Ragging"
"li","Privacy Statement"
"a","Privacy Statement"
"li","Report Copyright Infringement"
"a","Report Copyright Infringement"
"#root","Building & Works Committee | Punjab Engineering College Skip to main content Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment -A A +A Administration University Administration Board of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Minutes of Building & Works Committee Meetings Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Quick Links Alumni Central Library TEQIP III Admissions Placement Tenders Close modal Building & Works Committee Sr. No Name Capacity 1. Dr. Dheeraj Sanghi, Director Chairman 2. Prof. Sushant Samir, Registrar (Ad-Interim) Member Secretary 3. Prof. Umesh Sharma, Dean, Infrastructure, Planning and Estate. Member 4. Dr. R. K. Sinha, BOG Nominee Member 5. Sh. Anup Chauhan, Cheif Engineer, PWD ( B&R) Retd. Member 6. Sh. V.K. Jain, S.E, UHBVN Retd. Member Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"html","Building & Works Committee | Punjab Engineering College Skip to main content Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment -A A +A Administration University Administration Board of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Minutes of Building & Works Committee Meetings Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Quick Links Alumni Central Library TEQIP III Admissions Placement Tenders Close modal Building & Works Committee Sr. No Name Capacity 1. Dr. Dheeraj Sanghi, Director Chairman 2. Prof. Sushant Samir, Registrar (Ad-Interim) Member Secretary 3. Prof. Umesh Sharma, Dean, Infrastructure, Planning and Estate. Member 4. Dr. R. K. Sinha, BOG Nominee Member 5. Sh. Anup Chauhan, Cheif Engineer, PWD ( B&R) Retd. Member 6. Sh. V.K. Jain, S.E, UHBVN Retd. Member Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"head","Building & Works Committee | Punjab Engineering College"
"title","Building & Works Committee | Punjab Engineering College"
"body","Skip to main content Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment -A A +A Administration University Administration Board of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Minutes of Building & Works Committee Meetings Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Quick Links Alumni Central Library TEQIP III Admissions Placement Tenders Close modal Building & Works Committee Sr. No Name Capacity 1. Dr. Dheeraj Sanghi, Director Chairman 2. Prof. Sushant Samir, Registrar (Ad-Interim) Member Secretary 3. Prof. Umesh Sharma, Dean, Infrastructure, Planning and Estate. Member 4. Dr. R. K. Sinha, BOG Nominee Member 5. Sh. Anup Chauhan, Cheif Engineer, PWD ( B&R) Retd. Member 6. Sh. V.K. Jain, S.E, UHBVN Retd. Member Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"a","Skip to main content"
